hhid,clust,province,district,s11q2_1,s11q2_2,s11q2_0,s11q2_3,s11q2_4,s11q2_5,s11q2_6,s11q2_7,s11q2_8,s11q2_9,weight,owner,_merge
300310.0,10035.0,Kigali,Nyarugenge,Yes,Sep-23 ,Yes,1.0,20.0,6.0,9.0,150.0,5.0,0.0,606.2190323232322,Household,Matched (3)
300632.0,10071.0,Kigali,Nyarugenge,Yes,April-24,Yes,1.0,30.0,30.0,0.0,,0.0,0.0,542.0040787878788,Household,Matched (3)
300632.0,10071.0,Kigali,Nyarugenge,Yes,June-24,Yes,1.0,30.0,30.0,0.0,,0.0,0.0,542.0040787878788,Household,Matched (3)
300632.0,10071.0,Kigali,Nyarugenge,Yes,July-24,Yes,1.0,20.0,20.0,0.0,,0.0,0.0,542.0040787878788,Household,Matched (3)
300632.0,10071.0,Kigali,Nyarugenge,Yes,May-24,Yes,1.0,30.0,30.0,0.0,,0.0,0.0,542.0040787878788,Household,Matched (3)
300632.0,10071.0,Kigali,Nyarugenge,Yes,Feb-24,Yes,1.0,28.0,28.0,0.0,,0.0,0.0,542.0040787878788,Household,Matched (3)
300632.0,10071.0,Kigali,Nyarugenge,Yes,Sep-23 ,Yes,1.0,5.0,5.0,0.0,,0.0,0.0,542.0040787878788,Household,Matched (3)
300632.0,10071.0,Kigali,Nyarugenge,Yes,Dec-23,Yes,1.0,14.0,14.0,0.0,,0.0,0.0,542.0040787878788,Household,Matched (3)
300632.0,10071.0,Kigali,Nyarugenge,Yes,Jan-24,Yes,1.0,30.0,30.0,0.0,,0.0,0.0,542.0040787878788,Household,Matched (3)
300632.0,10071.0,Kigali,Nyarugenge,Yes,Nov-23,Yes,1.0,8.0,8.0,0.0,,0.0,0.0,542.0040787878788,Household,Matched (3)
300632.0,10071.0,Kigali,Nyarugenge,Yes,March-24,Yes,1.0,30.0,30.0,0.0,,0.0,0.0,542.0040787878788,Household,Matched (3)
300632.0,10071.0,Kigali,Nyarugenge,Yes,Oct-23,Yes,1.0,5.0,5.0,0.0,,0.0,0.0,542.0040787878788,Household,Matched (3)
300635.0,10071.0,Kigali,Nyarugenge,Yes,Dec-23,Yes,2.0,20.0,20.0,0.0,,0.0,0.0,542.0040787878788,Household,Matched (3)
300635.0,10071.0,Kigali,Nyarugenge,Yes,Sep-23 ,Yes,2.0,20.0,20.0,0.0,,0.0,0.0,542.0040787878788,Household,Matched (3)
300635.0,10071.0,Kigali,Nyarugenge,Yes,Oct-23,Yes,2.0,20.0,20.0,0.0,,0.0,0.0,542.0040787878788,Household,Matched (3)
300635.0,10071.0,Kigali,Nyarugenge,Yes,Nov-23,Yes,2.0,20.0,20.0,0.0,,0.0,0.0,542.0040787878788,Household,Matched (3)
300636.0,10071.0,Kigali,Nyarugenge,Yes,April-24,Yes,1.0,16.0,16.0,0.0,,0.0,0.0,542.0040787878788,Household,Matched (3)
300636.0,10071.0,Kigali,Nyarugenge,Yes,July-24,Yes,3.0,22.0,22.0,0.0,,0.0,0.0,542.0040787878788,Household,Matched (3)
